block,T,fh,nfe,genppl,entropy,tok_s,peak_mem_gb,on_frontier
4,1,false,256.0,808.1313,5.4754,108.8,0.7714,False
4,6,false,770.24,225.017,5.4733,65.45,0.7714,False
4,5000,true,1023.0,24.1852,5.3494,42.16,0.7698,True
8,1,false,128.0,803.1174,5.3696,276.51,0.7747,True
8,6,false,557.2,356.9215,5.5773,100.38,0.7747,False
8,8,false,650.28,189.6437,5.504,89.6,0.7747,False
8,5000,true,1023.0,31.0285,5.3508,45.13,0.7715,True
16,6,false,342.56,379.4416,5.5703,170.59,0.7812,True
16,8,false,424.76,225.8554,5.4893,143.52,0.7812,True
16,12,false,556.68,114.5081,5.4147,109.45,0.7812,True
16,16,false,643.36,80.8167,5.4394,97.81,0.7812,True
16,24,false,747.84,56.8836,5.4093,81.56,0.7812,True
16,32,false,809.2,44.1089,5.355,74.63,0.7812,True
16,48,false,873.92,42.3329,5.3931,51.95,0.7812,False
16,64,false,910.36,36.6391,5.3159,60.62,0.7812,True
16,5000,true,1023.0,31.1763,5.3116,49.69,0.7748,True
